"chamber","party","rank_partisan_leg_D","rank_partisan_leg_R","legislator_name","district_number","leg_party_loyalty","leg_n_votes_denom_loyalty"
"House","R",NA,180,"Anne Gerwig",93,0.963917525773196,194
"House","R",NA,181,"Kenneth Roberson",75,0.962479608482871,613
"House","R",NA,182,"Mel Ponder",4,0.961937716262976,289
"House","R",NA,183,"John Tobia",53,0.961344537815126,595
"House","R",NA,184,"Charlie Stone",22,0.960644007155635,559
"House","R",NA,185,"Julio Gonzalez",74,0.959731543624161,298
"House","R",NA,186,"Jim Mooney",120,0.959420289855072,690
"House","R",NA,187,"Thad Altman",32,0.958843159065628,899
"House","R",NA,188,"Michael Weinstein",19,0.958702064896755,339
"House","R",NA,189,"Mike Beltran",70,0.958123953098827,597
"House","R",NA,190,"Nicholas Thompson",73,0.957446808510638,94
"House","R",NA,191,"Fredrick Costello",25,0.957219251336898,374
"House","R",NA,192,"Eduardo Gonzalez",111,0.957173447537473,467
"House","R",NA,193,"David Santiago",27,0.956521739130435,552
"House","R",NA,194,"Shawn Harrison",63,0.955473098330241,539
"House","R",NA,195,"Daniel Raulerson",58,0.954692556634304,309
"House","R",NA,196,"David Smith",38,0.954320987654321,810
"House","R",NA,197,"George Moraitis",93,0.953313253012048,664
"House","R",NA,198,"Linda Chaney",61,0.95024077046549,623
"House","R",NA,199,"Vicki Lopez",113,0.94949494949495,297
"House","R",NA,200,"Pat Patterson",26,0.948979591836735,98
"House","R",NA,201,"Matt Gaetz",4,0.947080291970803,548
"House","R",NA,202,"Mike Caruso",87,0.947049924357035,661
"House","R",NA,203,"Heather Fitzenhagen",78,0.945848375451264,554
"House","R",NA,204,"Charles Van Zant",19,0.945614035087719,570
"House","R",NA,205,"Paula Stark",47,0.941588785046729,428
"House","R",NA,206,"Holly Raschein",120,0.940540540540541,555
"House","R",NA,207,"Julian Fant",15,0.940350877192982,285
"House","R",NA,208,"Paige Kreegel",72,0.939929328621908,283
"House","R",NA,209,"Halsey Beshears",7,0.937354988399072,431
"House","R",NA,210,"Mike Miller",47,0.936619718309859,284
"House","R",NA,211,"Carl Domino",83,0.934065934065934,91
"House","R",NA,212,"Dave Hood",25,0.932773109243697,119
"House","R",NA,213,"Bill Hager",89,0.92914653784219,621
"House","R",NA,214,"Karen Gonzalez Pittman",65,0.929133858267717,381
"House","R",NA,215,"Chris Latvala",67,0.928134556574923,654
"House","R",NA,216,"Baxter Troutman",66,0.927083333333333,96
"House","R",NA,217,"Susan Valdes",64,0.920152091254753,789
"House","R",NA,218,"Sam Killebrew",48,0.916782246879334,721
"House","R",NA,219,"Marcelo Llorente",116,0.913978494623656,93
"House","R",NA,220,"Hillary Cassel",101,0.91304347826087,368
"House","R",NA,221,"Raymond Pilon",72,0.904854368932039,515
"House","R",NA,222,"Tom Goodson",51,0.902985074626866,670
"House","R",NA,223,"Rene Plasencia",50,0.896296296296296,540
"House","R",NA,224,"Kathleen Peters",69,0.8875,400
"House","R",NA,225,"Don Hahnfeldt",33,0.887323943661972,71
"House","R",NA,226,"Kevin Ambler",47,0.871794871794872,78
"House","R",NA,227,"Ron Schultz",43,0.865853658536585,82
"House","R",NA,228,"Thomas Anderson",45,0.860215053763441,93
"House","R",NA,229,"Faye Culp",57,0.857142857142857,91
"House","R",NA,230,"Juan Zapata",119,0.823529411764706,85
"House","R",NA,231,"Juan-carlos Planas",115,0.769230769230769,78
"House","R",NA,232,"Edward Homan",60,0.739583333333333,96
"House","R",NA,233,"Mike Fasano",36,0.651933701657459,181
"House","R",NA,234,"Julio Robaina",117,0.557894736842105,95
"House","R",NA,235,"Hilary Holley",51,NA,NA
"Senate","D",1,NA,"LaVon Bracy Davis",15,0.981382978723404,376
"Senate","D",2,NA,"Lori Berman",26,0.976784178847807,1163
"Senate","D",3,NA,"Carlos Smith",17,0.962441314553991,639
"Senate","D",4,NA,"Tina Polsky",30,0.922818791946309,596
"Senate","D",5,NA,"Rosalind Osgood",32,0.921259842519685,381
"Senate","D",6,NA,"Kristen Arrington",25,0.906095551894563,607
"Senate","D",7,NA,"Shevrin Jones",34,0.891891891891892,925
