stateCode,year,nDistricts,planType,description,title,id,thumbnail,pendingCourtApproval,url,filename
IN,2022,50,upper,IN 2022 State Senate,IN 2022 State Senate,f2d2e4a3-f50d-4f77-bc5d-027ba0e2717e,NA,NA,https://davesredistricting.org/maps#viewmap::f2d2e4a3-f50d-4f77-bc5d-027ba0e2717e,IN_2022_upper.csv
KS,2022,125,lower,KS 2022 State House,KS 2022 State House,781f29f1-259e-4235-8b14-85137bc38893,NA,NA,https://davesredistricting.org/maps#viewmap::781f29f1-259e-4235-8b14-85137bc38893,KS_2022_lower.csv
KS,2022,40,upper,KS 2022 State Senate,KS 2022 State Senate,2bc2f97f-a285-4596-9fcd-6108056b229f,NA,NA,https://davesredistricting.org/maps#viewmap::2bc2f97f-a285-4596-9fcd-6108056b229f,KS_2022_upper.csv
KY,2022,100,lower,KY 2022 State House,KY 2022 State House,8eed4db7-46cd-4e09-a179-c0a7e821a963,NA,NA,https://davesredistricting.org/maps#viewmap::8eed4db7-46cd-4e09-a179-c0a7e821a963,KY_2022_lower.csv
KY,2022,38,upper,KY 2022 State Senate,KY 2022 State Senate,8ef6d39b-ae52-4587-8ed1-88b781dd4300,NA,NA,https://davesredistricting.org/maps#viewmap::8ef6d39b-ae52-4587-8ed1-88b781dd4300,KY_2022_upper.csv
LA,2022,105,lower,LA 2022 State House,LA 2022 State House,d63b737c-a8b3-46e9-8855-aa20a728c2b5,NA,NA,https://davesredistricting.org/maps#viewmap::d63b737c-a8b3-46e9-8855-aa20a728c2b5,LA_2022_lower.csv
LA,2022,39,upper,LA 2022 State Senate,LA 2022 State Senate,12eedba5-68de-4ab4-a3bb-7f59d9268041,NA,NA,https://davesredistricting.org/maps#viewmap::12eedba5-68de-4ab4-a3bb-7f59d9268041,LA_2022_upper.csv
MA,2022,160,lower,MA 2022 State House,MA 2022 State House,f4bfa2f3-1e73-4e0b-a237-cc2aa2e611b8,NA,NA,https://davesredistricting.org/maps#viewmap::f4bfa2f3-1e73-4e0b-a237-cc2aa2e611b8,MA_2022_lower.csv
MA,2022,40,upper,MA 2022 State Senate,MA 2022 State Senate,b32decd8-3ed9-4ab2-876b-c92cfa798e33,NA,NA,https://davesredistricting.org/maps#viewmap::b32decd8-3ed9-4ab2-876b-c92cfa798e33,MA_2022_upper.csv
MD,2022,71,lower,MD 2022 State House,MD 2022 State House,4cf1f21b-2347-457a-bbca-f299c7a8cb2b,NA,NA,https://davesredistricting.org/maps#viewmap::4cf1f21b-2347-457a-bbca-f299c7a8cb2b,MD_2022_lower.csv
MD,2022,47,upper,MD 2022 State Senate,MD 2022 State Senate,92ad6e43-2394-4957-b30a-828ca424a034,NA,NA,https://davesredistricting.org/maps#viewmap::92ad6e43-2394-4957-b30a-828ca424a034,MD_2022_upper.csv
ME,2022,151,lower,ME 2022 State House,ME 2022 State House,0ceefdda-ed1c-45e2-9f4a-e887394b5985,NA,NA,https://davesredistricting.org/maps#viewmap::0ceefdda-ed1c-45e2-9f4a-e887394b5985,ME_2022_lower.csv
ME,2022,35,upper,ME 2022 State Senate,ME 2022 State Senate,9916fa38-8d7a-498b-beb7-af2e530453c7,NA,NA,https://davesredistricting.org/maps#viewmap::9916fa38-8d7a-498b-beb7-af2e530453c7,ME_2022_upper.csv
MI,2024,110,lower,MI 2024 State House,MI 2024 State House,e24c9c82-a8de-4706-9ebb-91181592c37f,NA,NA,https://davesredistricting.org/maps#viewmap::e24c9c82-a8de-4706-9ebb-91181592c37f,MI_2024_lower.csv
MI,2026,38,upper,MI 2026 State Senate,MI 2026 State Senate,4cd32ab3-57e5-4bd7-9825-ed19122d14c8,NA,NA,https://davesredistricting.org/maps#viewmap::4cd32ab3-57e5-4bd7-9825-ed19122d14c8,MI_2026_upper.csv
MN,2022,134,lower,MN 2022 State House,MN 2022 State House,0e589052-0df8-4b8a-bede-c8e9fcc8814c,NA,NA,https://davesredistricting.org/maps#viewmap::0e589052-0df8-4b8a-bede-c8e9fcc8814c,MN_2022_lower.csv
MN,2022,67,upper,MN 2022 State Senate,MN 2022 State Senate,8d55ed9f-d825-4a8a-95e4-864cbeede612,NA,NA,https://davesredistricting.org/maps#viewmap::8d55ed9f-d825-4a8a-95e4-864cbeede612,MN_2022_upper.csv
MO,2022,163,lower,MO 2022 State House,MO 2022 State House,ebb632d0-2569-4a2a-81f6-1d8d6adc0d5e,NA,NA,https://davesredistricting.org/maps#viewmap::ebb632d0-2569-4a2a-81f6-1d8d6adc0d5e,MO_2022_lower.csv
MO,2022,34,upper,MO 2022 State Senate,MO 2022 State Senate,8d25c96a-2a78-40b2-b2f0-c504ecaa6762,NA,NA,https://davesredistricting.org/maps#viewmap::8d25c96a-2a78-40b2-b2f0-c504ecaa6762,MO_2022_upper.csv
MS,2025.1,122,lower,MS 2025 State House,MS 2025 State House,2f9cd385-813e-4c81-a474-7d74d2d5ed51,NA,NA,https://davesredistricting.org/maps#viewmap::2f9cd385-813e-4c81-a474-7d74d2d5ed51,MS_2025.1_lower.csv
MS,2025.1,52,upper,MS 2025 State Senate,MS 2025 State Senate,5cd7f259-4e1b-4da5-9352-f50ead4494d0,NA,NA,https://davesredistricting.org/maps#viewmap::5cd7f259-4e1b-4da5-9352-f50ead4494d0,MS_2025.1_upper.csv
MT,2022,100,lower,MT 2022 State House,MT 2022 State House,9cbcae13-e8cf-47fb-bf43-cd44f3dd05b9,NA,NA,https://davesredistricting.org/maps#viewmap::9cbcae13-e8cf-47fb-bf43-cd44f3dd05b9,MT_2022_lower.csv
MT,2022,50,upper,MT 2022 State Senate,MT 2022 State Senate,def19658-4d7c-4d36-a9c8-6d22ed5bf6ec,NA,NA,https://davesredistricting.org/maps#viewmap::def19658-4d7c-4d36-a9c8-6d22ed5bf6ec,MT_2022_upper.csv
NC,2024,120,lower,NC 2024 State House,NC 2024 State House,42841eaa-3a00-49ce-ba28-77726707251a,NA,NA,https://davesredistricting.org/maps#viewmap::42841eaa-3a00-49ce-ba28-77726707251a,NC_2024_lower.csv
NC,2024,50,upper,NC 2024 State Senate,NC 2024 State Senate,9157bd00-cfbb-4d32-9b01-ce7f38e53d1f,NA,NA,https://davesredistricting.org/maps#viewmap::9157bd00-cfbb-4d32-9b01-ce7f38e53d1f,NC_2024_upper.csv
ND,2024,47,upper,ND 2024 State Senate,ND 2024 State Senate,0493b6e8-10fb-4def-be5e-f5ed0ff3f963,NA,NA,https://davesredistricting.org/maps#viewmap::0493b6e8-10fb-4def-be5e-f5ed0ff3f963,ND_2024_upper.csv
ND,2024,49,lower,ND 2024 State House,ND 2024 State House,16edefb5-c6c7-4cdf-822a-a6a714f7e52f,NA,NA,https://davesredistricting.org/maps#viewmap::16edefb5-c6c7-4cdf-822a-a6a714f7e52f,ND_2024_lower.csv
NE,2022,49,upper,NE 2022 State Senate,NE 2022 State Senate,ab1f2fef-b979-4431-844a-98d93a4d6730,NA,NA,https://davesredistricting.org/maps#viewmap::ab1f2fef-b979-4431-844a-98d93a4d6730,NE_2022_upper.csv
NH,2022,164,lower,NH 2022 State House,NH 2022 State House,dfddaed1-5a76-4ca7-8a11-ddc533ea9f6e,NA,NA,https://davesredistricting.org/maps#viewmap::dfddaed1-5a76-4ca7-8a11-ddc533ea9f6e,NH_2022_lower.csv
NH,2022,24,upper,NH 2022 State Senate,NH 2022 State Senate,15bf8903-0c56-4536-9265-7b7177726a73,NA,NA,https://davesredistricting.org/maps#viewmap::15bf8903-0c56-4536-9265-7b7177726a73,NH_2022_upper.csv
NJ,2022,40,upper,NJ 2022 State Legislatures,NJ 2022 State Legislatures,61388384-5d1f-4f3b-9669-31e485b781f1,NA,NA,https://davesredistricting.org/maps#viewmap::61388384-5d1f-4f3b-9669-31e485b781f1,NJ_2022_upper.csv
NM,2022,70,lower,NM 2022 State House,NM 2022 State House,5e00bd63-7008-4b5e-b570-db5ba1d36785,NA,NA,https://davesredistricting.org/maps#viewmap::5e00bd63-7008-4b5e-b570-db5ba1d36785,NM_2022_lower.csv
NM,2022,42,upper,NM 2022 State Senate,NM 2022 State Senate,11c9cc63-8521-4785-89f3-58b5e4359507,NA,NA,https://davesredistricting.org/maps#viewmap::11c9cc63-8521-4785-89f3-58b5e4359507,NM_2022_upper.csv
